State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Male_Workers,Female_Workers,Agricultural_Workers,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,sex_ratio,literact_rate
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,217070,237698,358091,241931,118724,123207,8824,2521,104120,196116,15232,110.0,78.74146817718045
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,593537,510748,653299,443655,308527,135128,181449,1196,55929,256081,55300,86.0,59.16036168199332
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,2191442,1901403,2221601,1318946,1091952,226994,406830,3845,95508,786613,121064,87.0,54.28011566526463
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,906092,783882,1075196,620764,470969,149795,243035,2217,104176,304856,91565,87.0,63.622043889432625
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,2220465,2273739,2731677,1437375,934157,503218,436792,8002,181467,926088,80582,102.0,60.782220833767234
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,1057436,941167,1304513,814914,565357,249557,248072,8517,183340,309592,195321,89.0,65.27124196251081
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,963449,876772,983110,599089,459037,140052,131877,2825,89329,335888,115486,91.0,53.42347468048675
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,881776,774840,1017087,524676,430934,93742,129517,2488,61491,299785,65985,88.0,61.3954591770211
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,963255,832929,1170243,628864,493991,134873,234069,2682,49753,363933,41323,86.0,65.15162143744739
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,838485,761111,813424,639086,402644,236442,321410,1503,43753,349856,30764,91.0,50.851840089622634
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,1818055,1746489,1954820,1116973,804857,312116,528388,3486,127331,742324,42775,96.0,54.84067527291009
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,641011,580581,641191,503351,326783,176568,131354,1079,77082,258013,43819,91.0,52.48814661523651
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,2394476,2195362,3127260,1542806,1226399,316407,203029,68506,582769,344155,717566,92.0,68.13443088841044
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,466358,409600,488106,349676,237153,112523,130422,1316,42936,198298,48525,88.0,55.72253464207188
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,993377,875152,1203885,560840,466067,94773,137174,2642,79022,338475,72783,88.0,64.42955929503904
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,1367125,1180059,1507746,840939,635142,205797,179248,8726,281239,407488,177802,86.0,59.19266138606398
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,1114709,1091259,1363044,696747,475413,221334,212343,2656,149908,352207,99321,98.0,61.788928941852284
